,fold,fold,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,log_loss,log_loss
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,
ExtraTrees,3.0,1.5811388300841898,0.9516396845163968,0.011919513503828388,0.989039039039039,0.011352855732335566,0.8775000000000001,0.03686970300938157,0.9294812265774153,0.019236776039727753,0.9829399409044193,0.009134208321219053,0.333602339415939,0.16197816896968
LinearSVC_Calibrated,3.0,1.5811388300841898,0.9370568700705686,0.014131337770492417,0.9499902256085928,0.04034901063564317,0.875,0.012499999999999964,0.9105434062091764,0.018616558402315013,0.9825656474820142,0.005921531790567392,0.1570954036578537,0.02121955391354985
MLP_SVD,3.0,1.5811388300841898,0.9315691158156911,0.0055941752615695775,0.9367548838368871,0.02586753764840235,0.8724999999999999,0.027099354235848503,0.9029178575994822,0.008357177410408936,0.9817255909558067,0.005743536705920301,0.18163990904777189,0.025612027871462478
NuSVC_RBF,3.0,1.5811388300841898,0.9352220838522207,0.0059073012325490375,0.9520156377440457,0.029566310782512734,0.8675,0.025920551691659646,0.9071815796661866,0.008370295665261446,0.9827670863309352,0.0066298447246662074,0.16000275139018472,0.026042393929327928
RandomForest,3.0,1.5811388300841898,0.9470859277708593,0.01631059861217561,0.9780011961381824,0.017947400855892835,0.875,0.044194173824159196,0.9230545715076118,0.025736588598925404,0.9893260534429599,0.0039121061911222225,0.18426881763450612,0.01497245740895141
XGBoost,3.0,1.5811388300841898,0.9498173515981735,0.013313067102530728,0.9630980384984962,0.0244810967274273,0.8975,0.03354101966249683,0.9286923199229575,0.019939475800532954,0.989944758478931,0.004121330673765597,0.12220964144345652,0.026184676867625045
