model,accuracy,precision,recall,f1,roc_auc,log_loss,components,weights
HybridFusion_Top3,0.8857142857142857,0.8666666666666667,0.8053097345132744,0.8348623853211009,0.936037851572768,0.4012419039007979,ExtraTrees|RandomForest|XGBoost,0.345|0.334|0.321
HybridFusion_ClassicalOnly,0.8857142857142857,0.8666666666666667,0.8053097345132744,0.8348623853211009,0.936037851572768,0.4012419039007979,ExtraTrees|RandomForest|XGBoost,0.345|0.334|0.321
HybridFusion_NoXGBoost,0.8952380952380953,0.9081632653061225,0.7876106194690266,0.8436018957345972,0.9342854639446245,0.40193332604096577,ExtraTrees|RandomForest|LinearSVC_Calibrated,0.354|0.343|0.304
HybridFusion_DeepOnly,0.8539682539682539,0.819047619047619,0.7610619469026548,0.7889908256880734,0.89963199859809,0.3611198828532993,DeepTextCNN_Improved|CNNBiLSTM,0.539|0.461
